Data,Id,Nome,Categoria,Sub-categoria,Valor,Sistema ,Fisico ,Situação,Motivo,Resolvido ? ,Como ?
2025-07-24,23937,Motor de funçao vibratoria para iPhone XS Max,Manutenção Vibra / Volume / Power,M. iPhone XS Max,"300,00",2,2.0,OK,,,
2025-07-24,23939,Alto-falante Caixa de som para iPhone XS Max,Manutenção Speaker,M. iPhone XS Max,"300,00",2,1.0,DIVERGENTE,Falta-07605852,Sim,
2025-07-24,25370,Flex Sensor / Alto falante - iPhone XS Max,Manutenção Flex do Sensor,M. iPhone XS Max,"500,00",2,2.0,OK,,,
2025-07-24,23271,Conector de Carga iPhone XS Max - Cinza,Manutenção Conector,M. iPhone XS Max,"0,00",2,,DIVERGENTE,não encontrei ,Sim,
2025-07-24,23934,Flex de Conector de Carga para iPhone XS Max Preto,Manutenção Conector,M. iPhone XS Max,"500,00",1,1.0,OK,,,
2025-07-24,24590,Flex de Conector de Carga para iPhone XS Max Cinza,Manutenção Conector,M. iPhone XS Max,"500,00",1,1.0,OK,,,
2025-07-24,23020,Lente de Vidro da Câmera iPhone XS Max - Preto,Manutenção Câmera,M. iPhone XS Max,"250,00",2,2.0,OK,,,
2025-07-24,23941,Câmera Frontal e Sensor para iPhone XS Max,Manutenção Câmera,M. iPhone XS Max,"400,00",2,2.0,OK,,,
2025-07-24,23942,Câmera Traseira para iPhone XS Max,Manutenção Câmera,M. iPhone XS Max,"600,00",2,2.0,OK,,,
2025-07-24,24142,Vidro da câmera traseira para iPhone XS Max Dourado,Manutenção Câmera,M. iPhone XS Max,"250,00",2,2.0,OK,,,
2025-07-24,23948,Flex da função power para iPhone XS,Manutenção Vibra / Volume / Power,M. iPhone XS,"400,00",1,1.0,OK,,,
2025-07-24,23949,Flexivel da função de ajuste de volume para iPhone XS,Manutenção Vibra / Volume / Power,M. iPhone XS,"400,00",2,2.0,OK,,,
2025-07-24,23953,Motor de função vibratória para iPhone XS,Manutenção Vibra / Volume / Power,M. iPhone XS,"300,00",2,2.0,OK,,,
2025-07-24,23954,Speaker - iPhone XS,Manutenção Speaker,M. iPhone XS,"600,00",1,1.0,OK,,,
2025-07-24,24899,Flex sensor/ alto falante - iPhone XS,Manutenção Flex do Sensor,M. iPhone XS,"400,00",3,4.0,DIVERGENTE,1 unidade avulso -gerar novo codigo ,Sim,
2025-07-24,23950,Flex de Conector de Carga para iPhone XS Cinza,Manutenção Conector,M. iPhone XS,"400,00",2,2.0,OK,,,
2025-07-24,23951,Flex de Conector de Carga para iPhone XS Preto,Manutenção Conector,M. iPhone XS,"400,00",2,2.0,OK,,,
2025-07-24,23011,Lente de Vidro da Câmera iPhone XS - Preto,Manutenção Câmera,M. iPhone XS,"200,00",2,2.0,OK,,,
2025-07-24,23955,Câmera Frontal e Sensor para iPhone XS,Manutenção Câmera,M. iPhone XS,"400,00",2,2.0,OK,,,
2025-07-24,23956,Câmera Traseira para iPhone XS,Manutenção Câmera,M. iPhone XS,"600,00",2,2.0,OK,,,
2025-07-24,23989,Flex power / volume / vibra / microfone / flash - iPhone XR,Manutenção Vibra / Volume / Power,M. iPhone XR,"400,00",2,2.0,OK,,,
2025-07-24,23992,Flex motor vibra - iPhone XR,Manutenção Vibra / Volume / Power,M. iPhone XR,"300,00",2,2.0,OK,,,
2025-07-24,24000,Speaker para iPhone XR,Manutenção Speaker,M. iPhone XR,"400,00",1,1.0,OK,,,
2025-07-24,24901,Flex sensor/ alto falante - iPhone XR,Manutenção Flex do Sensor,M. iPhone XR,"400,00",2,2.0,OK,,,
2025-07-24,24140,Flex conector de carga para iPhone XR Branco,Manutenção Conector,M. iPhone XR,"500,00",1,1.0,OK,,,
2025-07-24,24344,Conector de carga para iPhone XR Preto,Manutenção Conector,M. iPhone XR,"500,00",1,1.0,OK,,,
2025-07-24,23995,Câmera Traseira para iPhone XR,Manutenção Câmera,M. iPhone XR,"500,00",2,2.0,OK,,,
2025-07-24,23997,Câmera Frontal e Sensor para iPhone XR,Manutenção Câmera,M. iPhone XR,"400,00",3,4.0,DIVERGENTE,1 unidade avulso -gerar novo codigo ,Sim,
2025-07-24,25104,Lente de Vidro da Câmera iPhone XR - Avulsa,Manutenção Câmera,M. iPhone XR,"250,00",3,3.0,OK,,,
2025-07-24,23473,Flex sensor/ alto falante - iPhone XR,Manutenção Alto Falante,M. iPhone XR,"0,00",1,,DIVERGENTE,não encontrei /codigo antigo,Sim,
2025-07-24,22487,Flex Volume - iPhone X,Manutenção Vibra / Volume / Power,M. iPhone X,"0,00",2,2.0,OK,,,
2025-07-24,22990,Flex Volume/carregador sem fio - iPhone x,Manutenção Vibra / Volume / Power,M. iPhone X,"400,00",2,2.0,OK,,,
2025-07-24,23960,Flex da função power para iPhone X,Manutenção Vibra / Volume / Power,M. iPhone X,"400,00",3,3.0,OK,,,
2025-07-24,23971,Motor de funçao vibratoria para iPhone X,Manutenção Vibra / Volume / Power,M. iPhone X,"300,00",2,2.0,OK,,,
2025-07-24,23973,Speaker - iPhone X,Manutenção Speaker,M. iPhone X,"300,00",2,2.0,OK,,,
2025-07-24,25378,Flex sensor / Alto falante - iPhone X,Manutenção Flex do Sensor,M. iPhone X,"500,00",1,1.0,OK,,,
2025-07-24,23965,Flex de Conector de Carga para iPhone X Cinza,Manutenção Conector,M. iPhone X,"400,00",3,3.0,OK,07605857/ peça é do Xs porem esta com o codigo do X ,,
2025-07-24,23967,Flex de Conector de Carga para iPhone X Preto,Manutenção Conector,M. iPhone X,"400,00",2,2.0,OK,07605832// peça é do Xs porem esta com o codigo do X ,,
2025-07-24,21905,Câmera Traseira - iPhone X,Manutenção Câmera,M. iPhone X,"500,00",2,2.0,OK,,,
2025-07-24,23978,Flex da Câmera Frontal e Sensor para iPhone X,Manutenção Câmera,M. iPhone X,"500,00",3,3.0,OK,,,
2025-07-24,24438,Lente de vidro da Câmera Traseira para iPhone X - Preta,Manutenção Câmera,M. iPhone X,"200,00",1,1.0,OK,,,
2025-07-24,24439,Lente de vidro da Câmera Traseira para iPhone X - Prata,Manutenção Câmera,M. iPhone X,"200,00",3,3.0,OK,,,
2025-07-24,24136,Flex do conector de carga para iPhone SE - Branco,Manutenção Conector,M. iPhone SE,"200,00",3,3.0,OK,,,
2025-07-24,24137,Flex do conector de carga para iPhone SE - Preto,Manutenção Conector,M. iPhone SE,"200,00",2,2.0,OK,,,
2025-07-24,21227,Câmera Traseira - iPhone SE,Manutenção Câmera,M. iPhone SE,"200,00",1,1.0,OK,,,
2025-07-24,24412,Câmera Traseira para iPhone SE,Manutenção Câmera,M. iPhone SE,"200,00",1,1.0,OK,,,
2025-07-24,21915,Flex Power/Volume - iPhone 8 Plus,Manutenção Vibra / Volume / Power,M. iPhone 8 Plus,"400,00",3,3.0,OK,,,
2025-07-24,24122,Motor de função vibratória para iPhone 8 Plus,Manutenção Vibra / Volume / Power,M. iPhone 8 Plus,"300,00",1,1.0,OK,,,
2025-07-24,21913,Speaker - iPhone 8 Plus,Manutenção Speaker,M. iPhone 8 Plus,"300,00",2,2.0,OK,,,
2025-07-24,23985,Flex de Conector de Carga para iPhone 8 Plus Branco,Manutenção Conector,M. iPhone 8 Plus,"300,00",1,1.0,OK,,,
