Id,Nome,Categoria,Sub-categoria,Valor,Sistema ,Fisico,Situação ,Data,motivo ,Resolvido ?,Como ?
23018,Lente de Vidro da Câmera iPhone XS Max - Prata,Manutenção Câmera,M. iPhone XS Max,"250,00",2.0,2.0,OK,2025-07-10,,,
23020,Lente de Vidro da Câmera iPhone XS Max - Preto,Manutenção Câmera,M. iPhone XS Max,"250,00",2.0,2.0,OK,2025-07-10,,,
23286,Bateria de iPhone XS Max,Manutenção Bateria,M. iPhone XS Max,"790,00",3.0,3.0,OK,2025-07-10,,,
23820,Flex Volume - iPhone XS Max,Manutenção Vibra / Volume / Power,M. iPhone XS Max,"400,00",1.0,1.0,OK,2025-07-10,,,
23918,Vidro e touchscreen com LCD iPhone XS Max - Preto,Manutenção LCD/ Touch,M. iPhone XS Max,"1.200,00",2.0,2.0,OK,2025-07-10,,,
23931,Flex da função power para iPhone XS Max,Manutenção Vibra / Volume / Power,M. iPhone XS Max,"500,00",1.0,1.0,OK,2025-07-10,,,
23932,Flex da função de ajuste de volume para iPhone XS Max,Manutenção Vibra / Volume / Power,M. iPhone XS Max,"400,00",1.0,1.0,OK,2025-07-10,,,
23934,Flex de Conector de Carga para iPhone XS Max Preto,Manutenção Conector,M. iPhone XS Max,"500,00",2.0,2.0,OK,2025-07-10,,,
23935,Alto-falante auricular para iPhone XS Max,Manutenção Alto Falante,M. iPhone XS Max,"400,00",1.0,1.0,OK,2025-07-10,,,
23937,Motor de funçao vibratoria para iPhone XS Max,Manutenção Vibra / Volume / Power,M. iPhone XS Max,"300,00",1.0,1.0,OK,2025-07-10,,,
23941,Câmera Frontal e Sensor para iPhone XS Max,Manutenção Câmera,M. iPhone XS Max,"400,00",3.0,3.0,OK,2025-07-10,,,
23942,Câmera Traseira para iPhone XS Max,Manutenção Câmera,M. iPhone XS Max,"600,00",1.0,1.0,OK,2025-07-10,,,
23944,Tampa de vidro com lente traseira para iPhone XS Max - Branco,Manutenção Carcaça/Vidro Traseiro,M. iPhone XS Max,"500,00",2.0,2.0,OK,2025-07-10,,,
23946,Tampa de vidro com lente traseira para iPhone XS Max - Preto,Manutenção Carcaça/Vidro Traseiro,M. iPhone XS Max,"500,00",2.0,2.0,OK,2025-07-10,,,
24117,Tampa de vidro com lente traseira para iPhone XS Max - Dourado,Manutenção Carcaça/Vidro Traseiro,M. iPhone XS Max,"500,00",2.0,2.0,OK,2025-07-10,,,
24590,Flex de Conector de Carga para iPhone XS Max Cinza,Manutenção Conector,M. iPhone XS Max,"500,00",1.0,1.0,OK,2025-07-10,,,
25370,Flex Sensor / Alto falante - iPhone XS Max,Manutenção Flex do Sensor,M. iPhone XS Max,"500,00",1.0,1.0,OK,2025-07-10,,,
26945,Bateria de iPhone XS Max - Sem Flex,Manutenção Bateria,M. iPhone XS Max,"790,00",2.0,2.0,OK,2025-07-10,,,
23268,Flex Power - iPhone XS,Manutenção Vibra / Volume / Power,M. iPhone XS,"0,00",1.0,1.0,OK,2025-07-10,,,
23284,Bateria de iPhone XS,Manutenção Bateria,M. iPhone XS,"600,00",2.0,2.0,OK,2025-07-10,,,
23590,Vidro e touchscreen com LCD iPhone XS - Preto,Manutenção LCD/ Touch,M. iPhone XS,"1.200,00",3.0,3.0,OK,2025-07-10,,,
23947,Antena Wi-Fi para iPhone XS,Manutenção Wi-Fi,M. iPhone XS,"400,00",3.0,3.0,OK,2025-07-10,,,
23951,Flex de Conector de Carga para iPhone XS Preto,Manutenção Conector,M. iPhone XS,"400,00",1.0,1.0,OK,2025-07-10,,,
23952,Alto-falante auricular para iPhone XS,Manutenção Alto Falante,M. iPhone XS,"400,00",2.0,2.0,OK,2025-07-10,,,
23955,Câmera Frontal e Sensor para iPhone XS,Manutenção Câmera,M. iPhone XS,"400,00",1.0,1.0,OK,2025-07-10,,,
23956,Câmera Traseira para iPhone XS,Manutenção Câmera,M. iPhone XS,"600,00",1.0,1.0,OK,2025-07-10,,,
24899,Flex sensor/ alto falante - iPhone XS,Manutenção Flex do Sensor,M. iPhone XS,"400,00",1.0,1.0,OK,2025-07-10,,,
