Id,Nome,Categoria,Sub-categoria,Valor,Sistema ,Fisico ,Situação,Data,Motivo,Resolvido ? ,Como ?
888,Flex P2 (3G) - iPad 2,Manutenção Flex do Fone,iPad 2,"500,00",1,,Divergente,2025-09-11,,,
889,Flex Power - iPad 2,Manutenção Vibra / Volume / Power,iPad 2,"180,00",1,,Divergente,2025-09-11,,,
1405,Camera Frontal - iPad 2,Manutenção Câmera,iPad 2,"150,00",2,,Divergente,2025-09-11,,,
2217,Conector de Carga - iPad 3,Manutenção Conector,iPad 3,"0,00",1,,Divergente,2025-09-11,,,
2617,Flex Power - iPad 3/4,Manutenção Vibra / Volume / Power,iPad 3,"500,00",1,,Divergente,2025-09-11,,,
23286,Bateria de iPhone XS Max,Manutenção Bateria,M. iPhone XS Max,"500,00",2,2.0,OK,2025-09-11,,,
2811,Flex Home - iPad 3/4,Manutenção Flex do Home,iPad 3,"200,00",2,,Divergente,2025-09-11,,,
2842,Cabo Flex Power   Volume do iPad Mini 1,Manutenção Vibra / Volume / Power,iPad Mini,"250,00",1,,Divergente,2025-09-11,,,
2845,Cabo Flex do Fone iPad Mini - Branco,Manutenção Flex do Fone,iPad Mini,"250,00",1,,Divergente,2025-09-11,,,
3056,Flex antena Wi-Fi - iPad 3/4,Manutenção Wi-Fi,iPad 3,"200,00",1,,Divergente,2025-09-11,,,
3065,Flex do Home iPad Mini,Manutenção Flex do Home,iPad Mini,"200,00",1,,Divergente,2025-09-11,,,
3099,Conector de Carga iPad Mini - Preto,Manutenção Conector,iPad Mini,"250,00",2,,Divergente,2025-09-11,,,
3147,Microfone da Camera Frontal iPad 2,Manutenção Microfone,iPad 2,"180,00",1,,Divergente,2025-09-11,,,
3554,Flex Home iPhone 5S/SE - Preto,Manutenção Flex do Home,M. iPhone 5S,"150,00",1,,Divergente,2025-09-11,,,
3555,Flex Home iPhone 5S/SE - Prata,Manutenção Flex do Home,M. iPhone 5S,"150,00",2,,Divergente,2025-09-11,,,
3556,Flex Home iPhone 5S/SE - Dourado,Manutenção Flex do Home,M. iPhone 5S,"200,00",3,,Divergente,2025-09-11,,,
26945,Bateria de iPhone XS Max - Sem Flex,Manutenção Bateria,M. iPhone XS Max,"500,00",1,1.0,OK,2025-09-11,,,
3800,Câmera Traseira - iPhone 5S,Manutenção Câmera,M. iPhone 5S,"150,00",2,,Divergente,2025-09-11,,,
3882,Flex Power/Volume/Vibra - iPhone 5S,Manutenção Vibra / Volume / Power,M. iPhone 5S,"200,00",3,,Divergente,2025-09-11,,,
3904,Flex do Microfone iPad Air,Manutenção Microfone,iPad Air,"300,00",1,,Divergente,2025-09-11,,,
4028,Flex Power e Volume iPad Air,Manutenção Vibra / Volume / Power,iPad Air,"300,00",3,,Divergente,2025-09-11,,,
4030,Conector de Carga - iPad 4,Manutenção Conector,iPad 4,"200,00",1,,Divergente,2025-09-11,,,
4032,Motor do Vibra - iPhone 5C,Manutenção Vibra / Volume / Power,M. iPhone 5C,"150,00",1,,Divergente,2025-09-11,,,
4054,Flex P2 - iPad 3/4,Manutenção Flex do Fone,iPad 3,"0,00",1,,Divergente,2025-09-11,,,
4148,Flex Fone iPad Air - Branco,Manutenção Flex do Fone,iPad Air,"0,00",1,,Divergente,2025-09-11,,,
4325,Aro Plástico iPad 2/3/4 - Branco,Manutenção Aro,iPad 2,"50,00",1,,Divergente,2025-09-11,,,
4348,Flex Volume e Vibra - iPhone 6 Plus,Manutenção Vibra / Volume / Power,M. iPhone 6 Plus,"180,00",2,,Divergente,2025-09-11,,,
4349,Flex Power - iPhone 6 Plus,Manutenção Vibra / Volume / Power,M. iPhone 6 Plus,"180,00",3,,Divergente,2025-09-11,,,
4352,Motor do Vibra - iPhone 6 Plus,Manutenção Vibra / Volume / Power,M. iPhone 6 Plus,"180,00",3,,Divergente,2025-09-11,,,
4353,Alto-Falante iPhone 6 Plus,Manutenção Alto Falante,M. iPhone 6 Plus,"150,00",3,,Divergente,2025-09-11,,,
4362,Flex Volume e Vibra - iPhone 6,Manutenção Vibra / Volume / Power,M. iPhone 6,"180,00",3,,Divergente,2025-09-11,,,
4363,Flex Power - iPhone 6,Manutenção Vibra / Volume / Power,M. iPhone 6,"400,00",5,,Divergente,2025-09-11,,,
4364,Câmera Frontal e Sensor de Proximidade - iPhone 6,Manutenção Câmera,M. iPhone 6,"0,00",3,,Divergente,2025-09-11,,,
4365,Câmera Traseira - iPhone 6,Manutenção Câmera,M. iPhone 6,"150,00",2,,Divergente,2025-09-11,,,
4366,Motor do Vibra - iPhone 6,Manutenção Vibra / Volume / Power,M. iPhone 6,"200,00",2,,Divergente,2025-09-11,,,
4367,Speaker - iPhone 6,Manutenção Speaker,M. iPhone 6,"180,00",2,,Divergente,2025-09-11,,,
4368,Flex Home iPhone 6 - Preto,Manutenção Flex do Home,M. iPhone 6,"200,00",1,,Divergente,2025-09-11,,,
23284,Bateria de iPhone XS,Manutenção Bateria,M. iPhone XS,"450,00",5,5.0,OK,2025-09-11,,,
4395,Motor do Vibra - iPhone 5S/SE,Manutenção Vibra / Volume / Power,M. iPhone 5S,"200,00",2,,Divergente,2025-09-11,,,
4456,Flex Home iPhone 6 - Prata,Manutenção Flex do Home,M. iPhone 6,"100,00",2,,Divergente,2025-09-11,,,
4457,Flex Home iPhone 6 - Dourado,Manutenção Flex do Home,M. iPhone 6,"100,00",1,,Divergente,2025-09-11,,,
4459,Conector de Carga iPhone 6 - Branco,Manutenção Conector,M. iPhone 6,"0,00",1,,Divergente,2025-09-11,,,
4460,Conector de Carga iPhone 6 - Cinza Escuro,Manutenção Conector,M. iPhone 6,"180,00",1,,Divergente,2025-09-11,,,
26944,Bateria de iPhone XS - Sem Flex,Manutenção Bateria,M. iPhone XS,"450,00",2,2.0,OK,2025-09-11,,,
4658,Alto-Falante iPhone 6,Manutenção Alto Falante,M. iPhone 6,"150,00",2,,Divergente,2025-09-11,,,
4660,Camera Frontal iPad 4,Manutenção Câmera,iPad 4,"50,00",1,,Divergente,2025-09-11,,,
4700,Câmera Traseira - iPad 3/4,Manutenção Câmera,iPad 3,"0,00",1,,Divergente,2025-09-11,,,
23285,Bateria de iPhone XR,Manutenção Bateria,M. iPhone XR,"450,00",3,3.0,OK,2025-09-11,,,
4981,Speaker - iPhone 6 Plus,Manutenção Speaker,M. iPhone 6 Plus,"180,00",3,,Divergente,2025-09-11,,,
5049,Carcaça iPhone 6 Plus - Cinza Espacial,Manutenção Carcaça/Vidro Traseiro,M. iPhone 6 Plus,"150,00",1,,Divergente,2025-09-11,,,
8144,Flex Home iPhone 6S - Preto,Manutenção Flex do Home,M. iPhone 6S,"200,00",1,,Divergente,2025-09-11,,,
8145,Flex Home iPhone 6S - Prata,Manutenção Flex do Home,M. iPhone 6S,"200,00",2,,Divergente,2025-09-11,,,
8153,Speaker - iPhone 6S,Manutenção Speaker,M. iPhone 6S,"200,00",2,,Divergente,2025-09-11,,,
8154,Flex Power/Volume/Vibra - iPhone 6S,Manutenção Vibra / Volume / Power,M. iPhone 6S,"200,00",3,,Divergente,2025-09-11,,,
8155,Conector de carga iPhone 6S - Branco,Manutenção Conector,M. iPhone 6S,"0,00",1,,Divergente,2025-09-11,,,
26946,Bateria de iPhone XR - Sem Flex,Manutenção Bateria,M. iPhone XR,"450,00",2,2.0,OK,2025-09-11,,,
8159,Câmera Frontal e Sensor de Proximidade - iPhone 6S,Manutenção Câmera,M. iPhone 6S,"0,00",3,,Divergente,2025-09-11,,,
8520,Carcaça iPhone 6 Plus - Dourada,Manutenção Carcaça/Vidro Traseiro,M. iPhone 6 Plus,"150,00",2,,Divergente,2025-09-11,,,
20715,Conector de carga iPhone 6S Plus - Branco,Manutenção Conector,M. iPhone 6S Plus,"0,00",1,,Divergente,2025-09-11,,,
20720,Flex Home iPhone 6S Plus - Prata,Manutenção Flex do Home,M. iPhone 6S Plus,"200,00",2,,Divergente,2025-09-11,,,
20721,Flex Home iPhone 6S Plus - Dourado,Manutenção Flex do Home,M. iPhone 6S Plus,"200,00",1,,Divergente,2025-09-11,,,
20722,Flex Power - iPhone 6S Plus,Manutenção Vibra / Volume / Power,M. iPhone 6S Plus,"200,00",3,,Divergente,2025-09-11,,,
20723,Speaker - iPhone 6S Plus,Manutenção Speaker,M. iPhone 6S Plus,"200,00",3,,Divergente,2025-09-11,,,
20737,Antena Wi-Fi - iPhone 6,Manutenção Wi-Fi,M. iPhone 6,"180,00",2,,Divergente,2025-09-11,,,
20755,Flex Volume e Vibra - iPhone 6S Plus,Manutenção Vibra / Volume / Power,M. iPhone 6S Plus,"200,00",2,,Divergente,2025-09-11,,,
20875,Flex câmera traseira - iPad Air/Mini/Mini 2/Mini 3,Manutenção Câmera,iPad Air,"200,00",1,,Divergente,2025-09-11,,,
20877,Flex câmera frontal - iPad Air,Manutenção Câmera,iPad Air,"200,00",1,,Divergente,2025-09-11,,,
20990,Flex home - iPad Air 2 / Mini 4/ iPad Pro 12.9 (1° Ger) Prata,Manutenção Flex do Home,iPad Air 2,"300,00",2,,Divergente,2025-09-11,,,
21069,Antena Wi-Fi - iPhone 6 Plus,Manutenção Wi-Fi,M. iPhone 6 Plus,"180,00",2,,Divergente,2025-09-11,,,
21113,Flex câmera frontal - iPad Air 2 / Mini 4 / Pro 12.9 (1° Ger),Manutenção Câmera,iPad Air 2,"200,00",2,,Divergente,2025-09-11,,,
