Id,Nome,Categoria,Sub-categoria,Valor,Sistema ,Fisico ,Situação,Data,Motivo,Resolvido ? ,Como ?
23443,Flex Power - iPhone XS Max,Manutenção Vibra / Volume / Power,M. iPhone XS Max,"0,00",1,1.0,OK,2025-08-07,,,
23934,Flex de Conector de Carga para iPhone XS Max Preto,Manutenção Conector,M. iPhone XS Max,"400,00",1,1.0,OK,2025-08-07,,,
23941,Câmera Frontal e Sensor para iPhone XS Max,Manutenção Câmera,M. iPhone XS Max,"300,00",2,2.0,OK,2025-08-07,,,
23942,Câmera Traseira para iPhone XS Max,Manutenção Câmera,M. iPhone XS Max,"400,00",1,1.0,OK,2025-08-07,,,
24142,Vidro da câmera traseira para iPhone XS Max Dourado,Manutenção Câmera,M. iPhone XS Max,"150,00",2,2.0,OK,2025-08-07,,,
25370,Flex Sensor / Alto falante - iPhone XS Max,Manutenção Flex do Sensor,M. iPhone XS Max,"400,00",2,2.0,OK,2025-08-07,,,
23948,Flex da função power para iPhone XS,Manutenção Vibra / Volume / Power,M. iPhone XS,"300,00",2,2.0,OK,2025-08-07,,,
23950,Flex de Conector de Carga para iPhone XS Cinza,Manutenção Conector,M. iPhone XS,"300,00",2,2.0,OK,2025-08-07,,,
23951,Flex de Conector de Carga para iPhone XS Preto,Manutenção Conector,M. iPhone XS,"300,00",2,2.0,OK,2025-08-07,,,
23286,Bateria de iPhone XS Max,Manutenção Bateria,M. iPhone XS Max,"500,00",2,2.0,OK,2025-08-07,4706406 - estufada ,,
23956,Câmera Traseira para iPhone XS,Manutenção Câmera,M. iPhone XS,"400,00",1,1.0,OK,2025-08-07,,,
24445,Lente de Vidro da Câmera traseira para iPhone XS - Prata,Manutenção Câmera,M. iPhone XS,"200,00",2,2.0,OK,2025-08-07,,,
23944,Tampa de vidro com lente traseira para iPhone XS Max - Branco,Manutenção Carcaça/Vidro Traseiro,M. iPhone XS Max,"400,00",2,2.0,OK,2025-08-07,,,
24446,Lente de vidro da câmera traseira para iPhone XS - Dourado,Manutenção Câmera,M. iPhone XS,"200,00",2,2.0,OK,2025-08-07,,,
23989,Flex power / volume / vibra / microfone / flash - iPhone XR,Manutenção Vibra / Volume / Power,M. iPhone XR,"400,00",1,1.0,OK,2025-08-07,,,
23995, Câmera Traseira para iPhone XR,,M. iPhone XR,,0,1.0,DIVERGENTE,2025-08-07,"1 unidade avulso , gerar novo codigo ",,
24000,Speaker para iPhone XR,Manutenção Speaker,M. iPhone XR,"400,00",1,1.0,OK,2025-08-07,,,
24344,Conector de carga para iPhone XR Preto,Manutenção Conector,M. iPhone XR,"300,00",1,1.0,OK,2025-08-07,,,
24901,Flex sensor/ alto falante - iPhone XR,Manutenção Flex do Sensor,M. iPhone XR,"400,00",2,2.0,OK,2025-08-07,,,
21905,Câmera Traseira - iPhone X,Manutenção Câmera,M. iPhone X,"300,00",1,1.0,OK,2025-08-07,,,
22487,Flex Volume - iPhone X,Manutenção Vibra / Volume / Power,M. iPhone X,"0,00",2,2.0,OK,2025-08-07,,,
23814,Speaker - iPhone X,Manutenção Speaker,M. iPhone X,"0,00",1,1.0,OK,2025-08-07,,,
23960,Flex da função power para iPhone X,Manutenção Vibra / Volume / Power,M. iPhone X,"400,00",2,2.0,OK,2025-08-07,,,
23965,Flex de Conector de Carga para iPhone X Cinza,Manutenção Conector,M. iPhone X,"300,00",2,2.0,OK,2025-08-07,,,
23967,Flex de Conector de Carga para iPhone X Preto,Manutenção Conector,M. iPhone X,"300,00",2,2.0,OK,2025-08-07,,,
23971,Motor de funçao vibratoria para iPhone X,Manutenção Vibra / Volume / Power,M. iPhone X,"300,00",1,1.0,OK,2025-08-07,,,
24438,Lente de vidro da Câmera Traseira para iPhone X - Preta,Manutenção Câmera,M. iPhone X,"200,00",2,2.0,OK,2025-08-07,,,
24439,Lente de vidro da Câmera Traseira para iPhone X - Prata,Manutenção Câmera,M. iPhone X,"200,00",2,2.0,OK,2025-08-07,,,
25378,Flex sensor / Alto falante - iPhone X,Manutenção Flex do Sensor,M. iPhone X,"300,00",2,2.0,OK,2025-08-07,,,
26450,Câmera traseira do iPhone SE 2°,Manutenção Câmera,M. iPhone SE 2,"300,00",1,1.0,OK,2025-08-07,,,
21227,Câmera Traseira - iPhone SE,Manutenção Câmera,M. iPhone SE,"150,00",2,2.0,OK,2025-08-07,,,
26945,Bateria de iPhone XS Max - Sem Flex,Manutenção Bateria,M. iPhone XS Max,"500,00",1,1.0,OK,2025-08-07,,,
24137,Flex do conector de carga para iPhone SE - Preto,Manutenção Conector,M. iPhone SE,"200,00",1,1.0,OK,2025-08-07,,,
21913,Speaker - iPhone 8 Plus,Manutenção Speaker,M. iPhone 8 Plus,"300,00",2,2.0,OK,2025-08-07,,,
21914,Alto-Falante iPhone 8 Plus,Manutenção Alto Falante,M. iPhone 8 Plus,"150,00",2,2.0,OK,2025-08-07,,,
21915,Flex Power/Volume - iPhone 8 Plus,Manutenção Vibra / Volume / Power,M. iPhone 8 Plus,"300,00",1,1.0,OK,2025-08-07,,,
22002,Lente de Vidro da Câmera iPhone 8 Plus - Rose,Manutenção Câmera,M. iPhone 8 Plus,"200,00",2,2.0,OK,2025-08-07,,,
23284,Bateria de iPhone XS,Manutenção Bateria,M. iPhone XS,"450,00",1,1.0,OK,2025-08-07,,,
23981,Câmera Traseira para iPhone 8 Plus,Manutenção Câmera,M. iPhone 8 Plus,"200,00",2,2.0,OK,2025-08-07,,,
23985,Flex de Conector de Carga para iPhone 8 Plus Branco,Manutenção Conector,M. iPhone 8 Plus,"300,00",2,2.0,OK,2025-08-07,,,
23946,Tampa de vidro com lente traseira para iPhone XS Max - Preto,Manutenção Carcaça/Vidro Traseiro,M. iPhone XS Max,"400,00",1,1.0,OK,2025-08-07,,,
23285,Bateria de iPhone XR,Manutenção Bateria,M. iPhone XR,"450,00",2,2.0,OK,2025-08-07,,,
23988,Flex de Conector de Carga para iPhone 8 Plus Preto,Manutenção Conector,M. iPhone 8 Plus,"300,00",1,1.0,OK,2025-08-07,,,
24117,Tampa de vidro com lente traseira para iPhone XS Max - Dourado,Manutenção Carcaça/Vidro Traseiro,M. iPhone XS Max,"400,00",2,2.0,OK,2025-08-07,,,
24121,Câmera Frontal e Sensor para iPhone 8 Plus,Manutenção Câmera,M. iPhone 8 Plus,"200,00",2,2.0,OK,2025-08-07,,,
24122,Motor de função vibratória para iPhone 8 Plus,Manutenção Vibra / Volume / Power,M. iPhone 8 Plus,"200,00",2,2.0,OK,2025-08-07,,,
24238,Antena de Sinal  - iPhone 8 Plus,Manutenção Antena de Sinal,M. iPhone 8 Plus,"200,00",1,1.0,OK,2025-08-07,,,
24435,Lente de Vidro da Câmera traseira para iPhone 8 Plus - Preta,Manutenção Câmera,M. iPhone 8 Plus,"200,00",2,2.0,OK,2025-08-07,,,
24436,Lente de vidro da Câmera Traseira para iPhone 8 Plus - Prata,Manutenção Câmera,M. iPhone 8 Plus,"200,00",1,1.0,OK,2025-08-07,,,
21697,Conector de Carga iPhone 8/SE - Preto,Manutenção Conector,M. iPhone 8,"0,00",1,1.0,OK,2025-08-07,,,
26946,Bateria de iPhone XR - Sem Flex,Manutenção Bateria,M. iPhone XR,"450,00",1,1.0,OK,2025-08-07,,,
21920,Speaker - iPhone 8/SE 2,Manutenção Speaker,M. iPhone 8,"300,00",2,2.0,OK,2025-08-07,,,
23004,Tampa Traseira iPhone XR - Azul,Manutenção Carcaça/Vidro Traseiro,M. iPhone XR,"400,00",2,2.0,OK,2025-08-07,,,
23994,Tampa de vidro com lente traseira para iPhone XR Branco,Manutenção Carcaça/Vidro Traseiro,M. iPhone XR,"400,00",1,1.0,OK,2025-08-07,,,
21921,Alto-Falante iPhone 8/SE 2,Manutenção Alto Falante,M. iPhone 8,"200,00",1,1.0,OK,2025-08-07,,,
21923,Flex Power/Volume - iPhone 8/SE 2,Manutenção Vibra / Volume / Power,M. iPhone 8,"300,00",2,2.0,OK,2025-08-07,,,
22859,Lente de Vidro da Câmera iPhone 8 - Dourado,Manutenção Câmera,M. iPhone 8,"100,00",2,2.0,OK,2025-08-07,,,
